day,hour,spends,transactions,items
2010-02-28,13,117.59999999999997,1,32
2010-02-28,14,205.9200000000001,3,52
2010-02-28,15,116.11999999999999,2,30
2010-02-28,17,105.41999999999997,2,35
2010-02-28,18,3.23,1,1
2010-02-28,19,178.04999999999998,3,49
2010-03-01,9,93.75999999999999,3,26
2010-03-01,10,7.21,2,4
2010-03-01,12,324.8500000000002,4,61
2010-03-01,13,457.92,3,69
2010-03-01,14,86.67000000000002,3,23
2010-03-01,15,100.42999999999998,3,16
2010-03-01,16,225.77000000000007,3,28
2010-03-01,17,98.50999999999998,4,35
2010-03-01,18,33.79,2,13
2010-03-01,19,41.82999999999999,2,20
2010-03-01,20,95.60999999999997,1,23
2010-03-01,21,499.00000000000017,6,89
2010-03-02,9,3.19,1,1
2010-03-02,10,78.79999999999998,1,20
2010-03-02,11,11.879999999999999,1,2
2010-03-02,12,28.39,1,8
2010-03-02,14,149.73000000000002,1,31
2010-03-02,15,86.35999999999997,3,31
2010-03-02,16,122.66999999999999,3,36
2010-03-02,17,57.460000000000015,1,16
2010-03-02,18,94.49999999999997,3,41
2010-03-03,9,158.21,2,25
2010-03-03,10,123.08999999999993,2,37
2010-03-03,11,3.99,1,1
2010-03-03,12,21.26,1,10
2010-03-03,14,8.719999999999999,1,4
2010-03-03,15,21.050000000000004,2,6
2010-03-03,17,80.24999999999999,2,29
2010-03-03,18,28.8,1,10
2010-03-03,20,32.95,1,6
2010-03-03,21,15.58,1,3
2010-03-04,9,61.59,1,17
2010-03-04,11,236.19000000000008,1,52
2010-03-04,12,259.5500000000001,7,66
2010-03-04,13,2.99,1,1
2010-03-04,15,44.050000000000004,1,15
2010-03-04,17,160.92,2,55
2010-03-04,18,26.839999999999996,1,7
2010-03-04,19,55.43,2,20
2010-03-04,20,108.64999999999999,2,17
2010-03-04,21,43.92000000000001,2,12
2010-03-05,9,77.55999999999999,2,19
2010-03-05,10,7.49,1,2
2010-03-05,11,26.759999999999994,1,11
2010-03-05,12,10.4,1,3
2010-03-05,14,121.41999999999996,3,38
2010-03-05,16,216.52000000000007,4,29
2010-03-05,17,11.450000000000001,1,6
2010-03-05,18,6.01,1,2
2010-03-05,19,40.0,1,10
2010-03-05,20,22.8,1,5
2010-03-05,22,9.910000000000002,1,4
2010-03-06,9,20.04,1,6
2010-03-06,11,52.56,1,19
2010-03-06,12,60.470000000000006,3,18
2010-03-06,13,250.99000000000012,6,79
2010-03-06,14,96.56,1,14
2010-03-06,15,237.85000000000008,5,53
2010-03-06,16,282.45,4,78
2010-03-06,17,33.870000000000005,4,14
2010-03-06,18,26.23,2,4
2010-03-07,9,149.07999999999996,4,34
2010-03-07,10,149.63000000000002,1,50
2010-03-07,11,26.38,2,6
2010-03-07,12,323.74000000000007,3,65
2010-03-07,13,157.29999999999998,4,44
2010-03-07,14,166.45,4,52
2010-03-07,15,16.560000000000002,1,4
2010-03-07,16,27.35,1,11
2010-03-07,17,53.66000000000002,1,25
2010-03-07,18,222.81000000000006,6,75
2010-03-07,19,79.35000000000001,4,23
2010-03-08,10,113.31999999999995,1,28
2010-03-08,11,27.9,1,10
2010-03-08,13,80.04999999999995,3,26
2010-03-08,15,2.99,1,1
2010-03-08,16,99.04,2,26
2010-03-08,17,59.14000000000001,3,18
2010-03-08,18,40.420000000000016,2,7
2010-03-08,19,87.51999999999998,3,30
2010-03-08,20,14.53,1,6
2010-03-09,10,119.61999999999999,2,37
2010-03-09,11,74.65999999999997,1,13
2010-03-09,12,395.7900000000001,2,68
2010-03-09,13,116.96999999999994,3,32
2010-03-09,14,104.65,2,24
2010-03-09,15,227.92000000000013,3,51
2010-03-09,16,194.34000000000012,7,64
2010-03-09,17,110.91999999999996,3,39
2010-03-09,18,23.29,1,4
2010-03-09,19,58.980000000000004,3,21
2010-03-09,20,95.71000000000002,1,25
2010-03-09,21,120.68000000000002,2,36
2010-03-10,9,16.53,1,4
2010-03-10,11,48.01000000000001,2,19
2010-03-10,13,340.87000000000006,7,95
2010-03-10,14,280.9800000000001,4,45
2010-03-10,15,125.1,3,41
2010-03-10,16,27.730000000000004,2,12
2010-03-10,17,112.99999999999994,2,32
2010-03-10,18,79.44000000000001,3,29
2010-03-10,21,13.06,1,5
2010-03-11,9,14.030000000000001,1,7
2010-03-11,10,94.52,3,29
2010-03-11,12,208.86000000000004,4,52
2010-03-11,13,20.83,1,8
2010-03-11,14,10.66,1,3
2010-03-11,15,3.09,1,2
2010-03-11,16,40.06,2,13
2010-03-11,17,21.789999999999992,1,15
2010-03-11,18,33.4,2,17
2010-03-11,19,19.17,1,3
2010-03-11,20,17.17,2,4
2010-03-11,21,26.660000000000004,2,9
2010-03-12,9,20.01,3,7
2010-03-12,10,6.84,1,8
2010-03-12,11,141.82000000000005,2,23
2010-03-12,12,6.99,1,1
2010-03-12,13,124.77999999999993,2,41
2010-03-12,14,218.41000000000008,6,62
2010-03-12,15,52.93000000000001,4,13
2010-03-12,16,82.10000000000001,3,36
2010-03-12,17,69.47999999999999,4,15
2010-03-12,18,4.99,1,2
